country,strength_score,predicted,cv_predicted,shap_base_value,shap_conflict,shap_economic,shap_geopolitics,shap_manpower,shap_terrain,shap_weaponry,residual
United States,1.0,0.995,0.9512,0.508,0.0295,0.1451,0.0227,0.057,0.0073,0.2253,0.005
Russia,0.9938,0.9902,0.9285,0.508,0.028,0.1482,0.0219,0.0559,0.0071,0.2212,0.0036
China,0.978,0.9759,0.8743,0.508,0.0285,0.1408,0.011,0.0668,0.0068,0.2141,0.0021
India,0.9252,0.9294,0.9449,0.508,0.0208,0.1281,0.0185,0.0708,-0.0036,0.1869,-0.0042
South Korea,0.8886,0.8897,0.8319,0.508,0.002,0.1317,0.02,0.032,-0.001,0.1971,-0.0011
France,0.8693,0.8686,0.8137,0.508,0.0043,0.1387,0.0167,0.0157,-0.0021,0.1873,0.0007
Japan,0.8596,0.8588,0.8541,0.508,-0.0231,0.125,0.0183,0.0406,0.0039,0.186,0.0008
United Kingdom,0.859,0.862,0.8273,0.508,0.0226,0.1381,0.0137,0.0239,-0.0026,0.1584,-0.003
Turkiye,0.8474,0.8522,0.7918,0.508,0.0085,0.1207,0.0169,0.027,-0.0016,0.1726,-0.0048
Italy,0.8182,0.8176,0.7864,0.508,-0.0213,0.1285,0.0201,0.0189,-0.0011,0.1645,0.0006
Brazil,0.798,0.7924,0.574,0.508,-0.0187,0.134,0.0252,0.0468,-0.0011,0.0982,0.0056
Germany,0.787,0.7944,0.8395,0.508,-0.0242,0.1276,0.017,0.0188,-0.0008,0.148,-0.0074
Indonesia,0.7723,0.7699,0.5499,0.508,0.0178,0.0543,0.0123,0.0871,0.0043,0.086,0.0024
Pakistan,0.7669,0.765,0.6405,0.508,0.0202,-0.05,0.0226,0.0548,-0.0029,0.2122,0.0019
Israel,0.7569,0.7551,0.5798,0.508,0.0263,0.0861,0.0197,-0.0362,-0.0034,0.1546,0.0018
Iran,0.696,0.6941,0.5775,0.508,0.0224,-0.0109,-0.0119,0.0234,0.0002,0.1628,0.0019
Australia,0.6949,0.6895,0.447,0.508,0.0263,0.1766,0.0344,0.0006,0.0083,-0.0646,0.0054
Spain,0.6901,0.6865,0.4874,0.508,-0.0145,0.1079,0.0187,-0.0052,-0.0002,0.0718,0.0036
Egypt,0.6401,0.6392,0.5965,0.508,0.014,-0.1008,-0.0016,0.0249,0.0026,0.1921,0.0009
Ukraine,0.6352,0.6317,0.2956,0.508,0.0273,0.0648,0.0293,0.0135,-0.002,-0.0093,0.0035
Poland,0.6104,0.6071,0.5013,0.508,-0.0224,0.0737,0.0232,-0.0357,-0.0018,0.062,0.0033
Taiwan,0.606,0.6004,0.4879,0.508,-0.006,0.0139,-0.0149,-0.0308,0.002,0.1282,0.0056
Vietnam,0.5888,0.5859,0.374,0.508,0.0317,0.0033,0.0026,0.0562,0.0003,-0.0163,0.0029
Thailand,0.5403,0.5415,0.6178,0.508,0.0087,-0.0753,0.0043,-0.0028,-0.0033,0.1019,-0.0012
Saudi Arabia,0.5385,0.5404,0.6592,0.508,-0.0239,0.0578,0.0075,-0.0642,-0.0051,0.0604,-0.0019
Sweden,0.4938,0.4921,0.3776,0.508,-0.0218,0.0382,0.015,-0.0279,0.0014,-0.0208,0.0017
Algeria,0.492,0.4956,0.5136,0.508,-0.0071,-0.0716,-0.0024,-0.0591,-0.0037,0.1315,-0.0036
Canada,0.44,0.4454,0.5798,0.508,-0.0262,0.1159,0.0003,-0.0213,0.0021,-0.1334,-0.0054
Singapore,0.4396,0.4412,0.4595,0.508,-0.0228,0.0112,0.0187,-0.0487,-0.0017,-0.0235,-0.0016
Greece,0.4134,0.4144,0.6045,0.508,-0.0152,-0.1616,0.0302,-0.0603,0.0012,0.1121,-0.001
North Korea,0.3579,0.3625,0.7119,0.508,-0.0043,-0.1634,-0.012,-0.0619,-0.0042,0.1004,-0.0046
Argentina,0.3517,0.3489,0.1769,0.508,0.0047,-0.0463,-0.0193,0.0324,-0.0024,-0.1281,0.0028
Nigeria,0.3376,0.3336,0.1607,0.508,0.0104,-0.1038,0.0057,0.0792,-0.0043,-0.1616,0.004
Netherlands,0.3321,0.3353,0.402,0.508,-0.0148,0.0565,0.0026,-0.0278,-0.004,-0.1852,-0.0032
Myanmar,0.3168,0.317,0.4034,0.508,0.004,-0.1301,0.0153,-0.0221,-0.0042,-0.0538,-0.0002
Mexico,0.3,0.3059,0.4909,0.508,-0.0175,-0.0268,-0.0256,0.0562,0.0015,-0.1899,-0.0059
Bangladesh,0.2857,0.2877,0.2974,0.508,-0.0092,-0.0884,0.0053,0.0596,-0.0055,-0.1822,-0.002
Portugal,0.2681,0.2522,0.1581,0.508,-0.0025,-0.1082,0.0089,0.0143,0.0044,-0.1727,0.0159
Norway,0.2656,0.2632,0.1839,0.508,-0.0217,-0.0202,0.0221,-0.0578,0.0039,-0.1712,0.0024
South Africa,0.2454,0.2437,0.1911,0.508,-0.0043,-0.1062,-0.0344,0.0557,0.0004,-0.1755,0.0017
Philippines,0.2268,0.228,0.164,0.508,-0.0048,-0.1013,0.0139,-0.0024,0.0049,-0.1904,-0.0012
Malaysia,0.1791,0.1773,0.0758,0.508,0.0054,-0.1101,-0.0514,0.0151,0.0006,-0.1902,0.0018
Colombia,0.1578,0.1584,0.357,0.508,-0.0107,-0.0627,-0.053,-0.0247,-0.0064,-0.1921,-0.0006
Iraq,0.0881,0.0862,0.2775,0.508,0.0141,-0.1401,-0.053,-0.0603,-0.0066,-0.1759,0.0019
Denmark,0.0778,0.0848,0.3152,0.508,-0.02,-0.0835,0.0102,-0.0802,0.0002,-0.2498,-0.007
Switzerland,0.0533,0.0542,0.2721,0.508,-0.0163,-0.0909,-0.0497,-0.0712,-0.0068,-0.2189,-0.0009
Ethiopia,0.0373,0.0417,0.3036,0.508,0.0117,-0.1713,-0.0405,-0.0243,-0.0093,-0.2327,-0.0044
Finland,0.019,0.0251,0.1577,0.508,-0.0153,-0.1572,-0.02,-0.0765,-0.003,-0.2108,-0.0061
Chile,0.0152,0.0183,0.1462,0.508,-0.0147,-0.1504,-0.0584,-0.0756,-0.0018,-0.1888,-0.0031
Peru,0.0,0.0134,0.1813,0.508,0.0051,-0.1777,-0.071,-0.0592,-0.0078,-0.184,-0.0134
