country,strength_score,weaponry_index,manpower_index,economic_resilience_index,conflict_experience_index,defense_industry_index,import_dependency_index,cluster,tier
United States,1.0,0.8379,0.2965,0.9352,0.3024,1.0,0.2306,2,Tier 1
Russia,0.9938,0.5897,0.5241,0.2551,0.4089,0.0991,0.0886,0,Tier 2
China,0.978,0.647,0.319,0.4783,0.5802,0.0837,0.013,0,Tier 2
India,0.9252,0.2701,0.3456,0.1984,0.8185,0.0019,0.2227,0,Tier 2
South Korea,0.8886,0.2425,0.6376,0.2466,0.1186,0.0713,0.1923,0,Tier 2
France,0.8693,0.0911,0.0339,0.2906,0.2121,0.1681,0.0352,1,Tier 3
Japan,0.8596,0.1621,0.0349,0.2733,0.0,0.0016,0.1862,1,Tier 3
United Kingdom,0.859,0.0875,0.0181,0.3199,0.4109,0.056,0.1223,1,Tier 3
Turkiye,0.8474,0.1463,0.1221,0.1815,0.1575,0.0246,0.0721,1,Tier 3
Italy,0.8182,0.1023,0.0182,0.2697,0.0,0.1021,0.0819,1,Tier 3
Brazil,0.798,0.0435,0.2936,0.2354,0.0,0.0086,0.0825,1,Tier 3
Germany,0.787,0.0606,0.1808,0.3328,0.0,0.1516,0.045,1,Tier 3
Indonesia,0.7723,0.0637,0.1176,0.1819,0.2039,0.0013,0.0348,1,Tier 3
Pakistan,0.7669,0.1434,0.1744,0.1413,0.7882,0.0004,0.1871,0,Tier 2
Israel,0.7569,0.0705,0.1038,0.2457,0.5144,0.0759,0.0396,1,Tier 3
Iran,0.696,0.1388,0.1307,0.1934,0.5742,0.0167,0.0073,1,Tier 3
Australia,0.6949,0.0394,0.0092,0.3116,0.1662,0.0056,0.1873,1,Tier 3
Spain,0.6901,0.0625,0.0144,0.2432,0.0,0.0473,0.0276,1,Tier 3
Egypt,0.6401,0.16,0.1363,0.1587,0.2439,0.0001,0.013,1,Tier 3
Ukraine,0.6352,0.0577,0.8591,0.0121,0.2923,0.0017,1.0,0,Tier 2
Poland,0.6104,0.0407,0.0908,0.1824,0.0,0.0086,0.2763,1,Tier 3
Taiwan,0.606,0.1064,0.3379,,0.1074,0.0,,1,Tier 3
Vietnam,0.5888,0.0842,1.0,0.1535,0.5752,0.0007,0.0103,0,Tier 2
Thailand,0.5403,0.0566,0.0745,0.1689,0.2841,0.0004,0.0132,1,Tier 3
Saudi Arabia,0.5385,0.0715,0.0237,0.3236,0.0,0.0002,0.2118,1,Tier 3
Sweden,0.4938,0.0348,0.0057,0.2778,0.0,0.0282,0.0119,1,Tier 3
Algeria,0.492,0.0794,0.0394,0.1195,0.0941,0.0,0.0237,1,Tier 3
Canada,0.44,0.0348,0.0078,0.3519,0.0,0.0112,0.0277,1,Tier 3
Singapore,0.4396,0.0393,0.0502,0.3542,0.0,0.0008,0.0658,1,Tier 3
Greece,0.4134,0.0993,0.0544,0.1902,0.0324,0.0005,0.1184,1,Tier 3
North Korea,0.3579,0.2136,0.2494,,0.1186,0.018,,1,Tier 3
Argentina,0.3517,0.0201,0.0107,0.1969,0.0989,0.0,0.0075,1,Tier 3
Nigeria,0.3376,0.0247,0.0218,0.1583,0.2772,0.0002,0.0121,1,Tier 3
Netherlands,0.3321,0.0298,0.0029,0.3122,0.0426,0.029,0.0681,1,Tier 3
Myanmar,0.3168,0.0677,0.0252,0.1274,0.3623,0.0,0.0417,1,Tier 3
Mexico,0.3,0.0185,0.058,0.2246,0.0,0.0001,0.008,1,Tier 3
Bangladesh,0.2857,0.033,0.0189,0.1553,0.0,0.0,0.0136,1,Tier 3
Portugal,0.2681,0.0232,0.0036,0.2092,0.0324,0.0013,0.0109,1,Tier 3
Norway,0.2656,0.025,0.0039,0.3694,0.0,0.0525,0.066,1,Tier 3
South Africa,0.2454,0.0236,0.0096,0.1644,0.0649,0.002,0.005,1,Tier 3
Philippines,0.2268,0.0191,0.3002,0.1545,0.1703,0.0,0.0448,1,Tier 3
Malaysia,0.1791,0.0182,0.0187,0.1799,0.1056,0.0001,0.0006,1,Tier 3
Colombia,0.1578,0.0402,0.2342,0.1559,0.0892,0.0003,0.0029,1,Tier 3
Iraq,0.0881,0.0436,0.0177,0.1902,0.6589,0.0,0.0036,1,Tier 3
Denmark,0.0778,0.0202,0.001,0.3049,0.0,0.0123,0.0809,1,Tier 3
Switzerland,0.0533,0.0072,0.0126,0.4074,0.0,0.0024,0.0055,1,Tier 3
Ethiopia,0.0373,0.0123,0.0784,0.1363,0.51,0.0,0.0084,1,Tier 3
Finland,0.019,0.0244,0.165,0.2616,0.0,0.002,0.0115,1,Tier 3
Chile,0.0152,0.0392,0.0128,0.1795,0.0,0.0006,0.0019,1,Tier 3
Peru,0.0,0.0383,0.0833,0.1674,0.2004,0.0,0.0,1,Tier 3
