country,year,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,total_population
China,2010,6192564874453.29,4629.24551710077,1.73351986212832,1337705000.0
China,2011,7671757207851.29,5703.76027973346,1.65908251595704,1345035000.0
China,2012,8673664713189.24,6405.0574241349,1.70094267160117,1354190000.0
China,2013,9743124247267.24,7147.03518622344,1.7143409229625,1363240000.0
China,2014,10674533168257.4,7781.06597484974,1.73840928794394,1371860000.0
China,2015,11280814787468.9,8175.33285077393,1.77677106896806,1379860000.0
China,2016,11456024084962.0,8254.86859320357,1.7688865902507,1387790000.0
China,2017,12537559062282.9,8979.67652709856,1.71124264388853,1396215000.0
China,2018,14147765772963.8,10085.6638148819,1.67357820944542,1402760000.0
China,2019,14560167101283.4,10342.9009524335,1.68291101151296,1407745000.0
China,2020,14996414166715.1,10627.4637989619,1.75669947098837,1411100000.0
China,2021,18201698719564.0,12887.4357242941,1.60525971842503,1412360000.0
China,2022,18316765021690.2,12970.6056414327,1.63053389156959,1412175000.0
China,2023,18270356654533.2,12951.1782397043,1.66484889659813,1410710000.0
China,2024,18743803170827.2,13303.1481543868,1.71129740345228,1408975000.0
India,2010,1675615519484.96,1347.51939071367,2.88946327164641,1243481564.0
India,2011,1823051829894.55,1445.46127486037,2.70448222276966,1261224954.0
India,2012,1827637590410.41,1429.32199520032,2.61816634758562,1278674502.0
India,2013,1856721507621.58,1432.84397512195,2.5488248901417,1295829511.0
India,2014,2039126479154.52,1553.88396075118,2.54398176462257,1312277191.0
India,2015,2103588360044.94,1583.99815907985,2.45745006060163,1328024498.0
India,2016,2294796885663.16,1707.50892912243,2.54315152114541,1343944296.0
India,2017,2651474262755.45,1950.10468280866,2.53151136056791,1359657400.0
India,2018,2702929641648.74,1966.25455171679,2.42428452604417,1374659064.0
India,2019,2835606256558.19,2041.42863698585,2.5459982314359,1389030312.0
India,2020,2674851578587.27,1907.04251637669,2.80361581112679,1402617695.0
India,2021,3167270623260.47,2239.61384367482,2.46874153034185,1414203896.0
India,2022,3346107287730.93,2347.44829434623,2.38309809835882,1425423212.0
India,2023,3638489096033.86,2530.12031278204,2.35679426678262,1438069596.0
India,2024,3909891533858.08,2694.73780859961,2.2712033218142,1450935791.0
Pakistan,2010,196709621849.586,987.304571124485,3.04189326480607,199239047.0
Pakistan,2011,230586581059.665,1131.73513834324,2.91924318438144,203746065.0
Pakistan,2012,250106966104.704,1204.36475491585,3.09577353673779,207667125.0
Pakistan,2013,258657231672.412,1225.4340119198,3.08802003540329,211073978.0
Pakistan,2014,271390474857.632,1266.61340849959,3.09657969704779,214264647.0
Pakistan,2015,299963590534.773,1380.47020838317,3.16298664508296,217290883.0
Pakistan,2016,313630000130.435,1424.69161195897,3.20377671550622,220138869.0
Pakistan,2017,339205534861.1,1519.23459514248,3.36444910317801,223273967.0
Pakistan,2018,356128166704.921,1569.33814626355,3.58696176378502,226928892.0
Pakistan,2019,320909472770.669,1390.41690981745,3.50584031595126,230800899.0
Pakistan,2020,300425609817.981,1278.39735206896,3.48667909020303,235001746.0
Pakistan,2021,348516647445.148,1455.31922370186,3.38923879613996,239477801.0
Pakistan,2022,374890295666.694,1538.3228133171,3.17683202352522,243700667.0
Pakistan,2023,336686348609.266,1360.32417758419,2.88079974069692,247504495.0
Pakistan,2024,371570000121.266,1478.77277977996,2.66760037007452,251269164.0
